key	name	field	letpub	easy_scholar	letpub_url
1619-4500	4OR-A Quarterly Journal of Operations Research	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=1&page=journalapp&view=detail
0898-9621	Accountability in Research-Ethics Integrity and Policy	cas_tier	3	2	https://www.letpub.com.cn/index.php?journalid=14&page=journalapp&view=detail
0094-5765	ACTA ASTRONAUTICA	cas_tier	1	2	https://www.letpub.com.cn/index.php?journalid=58&page=journalapp&view=detail
0001-5237	ACTA ASTRONOMICA	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=59&page=journalapp&view=detail
0001-5962	ACTA MATHEMATICA	cas_tier	3	1	https://www.letpub.com.cn/index.php?journalid=113&page=journalapp&view=detail
1000-3290	ACTA PHYSICA SINICA	cas_tier	2	3	https://www.letpub.com.cn/index.php?journalid=159&page=journalapp&view=detail
1806-2563	ACTA SCIENTIARUM-TECHNOLOGY	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=176&page=journalapp&view=detail
0269-9370	AIDS	cas_tier	1	2	https://www.letpub.com.cn/index.php?journalid=349&page=journalapp&view=detail
0002-5232	Algebra and Logic	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=365&page=journalapp&view=detail
1005-3867	ALGEBRA COLLOQUIUM	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=366&page=journalapp&view=detail
0044-7447	AMBIO	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=387&page=journalapp&view=detail
1526-5161	AMERICAN JOURNAL OF BIOETHICS	cas_tier	3	1	https://www.letpub.com.cn/index.php?journalid=399&page=journalapp&view=detail
1433-7851	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=534&page=journalapp&view=detail
0232-704X	ANNALS OF GLOBAL ANALYSIS AND GEOMETRY	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=608&page=journalapp&view=detail
0003-486X	ANNALS OF MATHEMATICS	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=616&page=journalapp&view=detail
0254-5330	ANNALS OF OPERATIONS RESEARCH	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=627&page=journalapp&view=detail
0003-3790	ANNALS OF SCIENCE	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=636&page=journalapp&view=detail
1548-5943	Annual Review of Clinical Psychology	cas_tier	2	1	https://www.letpub.com.cn/index.php?journalid=662&page=journalapp&view=detail
1543-5938	Annual Review of Environment and Resources	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=666&page=journalapp&view=detail
0066-4189	Annual Review of Fluid Mechanics	cas_tier	2	1	https://www.letpub.com.cn/index.php?journalid=667&page=journalapp&view=detail
0066-4286	Annual Review of Phytopathology	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=683&page=journalapp&view=detail
0066-4308	Annual Review of Psychology	cas_tier	2	1	https://www.letpub.com.cn/index.php?journalid=685&page=journalapp&view=detail
0003-682X	APPLIED ACOUSTICS	cas_tier	3	2	https://www.letpub.com.cn/index.php?journalid=713&page=journalapp&view=detail
1683-3511	Applied and Computational Mathematics	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=715&page=journalapp&view=detail
0926-3373	Applied Catalysis B-Environment and Energy	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=722&page=journalapp&view=detail
0306-2619	APPLIED ENERGY	cas_tier	2	1	https://www.letpub.com.cn/index.php?journalid=729&page=journalapp&view=detail
0924-669X	APPLIED INTELLIGENCE	cas_tier	1	3	https://www.letpub.com.cn/index.php?journalid=737&page=journalapp&view=detail
0096-3003	APPLIED MATHEMATICS AND COMPUTATION	cas_tier	1	2	https://www.letpub.com.cn/index.php?journalid=740&page=journalapp&view=detail
0893-9659	Applied Mathematics Letters	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=743&page=journalapp&view=detail
0003-6900	Applied Mechanics Reviews	cas_tier	3	1	https://www.letpub.com.cn/index.php?journalid=745&page=journalapp&view=detail
0003-6951	APPLIED PHYSICS LETTERS	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=756&page=journalapp&view=detail
1568-4946	APPLIED SOFT COMPUTING	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=760&page=journalapp&view=detail
1551-7004	ARKIVOC	cas_tier	1	4	https://www.letpub.com.cn/index.php?journalid=877&page=journalapp&view=detail
0303-1179	ASTERISQUE	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=925&page=journalapp&view=detail
1531-1074	ASTROBIOLOGY	cas_tier	1	2	https://www.letpub.com.cn/index.php?journalid=927&page=journalapp&view=detail
1063-7737	ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=933&page=journalapp&view=detail
0004-8038	AUK	cas_tier	4	3	https://www.letpub.com.cn/index.php?journalid=964&page=journalapp&view=detail
1931-6690	Bayesian Analysis	cas_tier	2	1	https://www.letpub.com.cn/index.php?journalid=1041&page=journalapp&view=detail
0144-929X	BEHAVIOUR & INFORMATION TECHNOLOGY	cas_tier	1	4	https://www.letpub.com.cn/index.php?journalid=1051&page=journalapp&view=detail
0166-4328	BEHAVIOURAL BRAIN RESEARCH	cas_tier	1	3	https://www.letpub.com.cn/index.php?journalid=1052&page=journalapp&view=detail
0142-9612	BIOMATERIALS	cas_tier	3	1	https://www.letpub.com.cn/index.php?journalid=1163&page=journalapp&view=detail
1746-8094	Biomedical Signal Processing and Control	cas_tier	1	2	https://www.letpub.com.cn/index.php?journalid=1175&page=journalapp&view=detail
0006-341X	BIOMETRICS	cas_tier	2	3	https://www.letpub.com.cn/index.php?journalid=1180&page=journalapp&view=detail
0006-3444	BIOMETRIKA	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=1181&page=journalapp&view=detail
0960-8524	BIORESOURCE TECHNOLOGY	cas_tier	3	1	https://www.letpub.com.cn/index.php?journalid=1196&page=journalapp&view=detail
0304-8799	BOSQUE	cas_tier	1	4	https://www.letpub.com.cn/index.php?journalid=1295&page=journalapp&view=detail
0008-0624	CALCOLO	cas_tier	4	3	https://www.letpub.com.cn/index.php?journalid=1444&page=journalapp&view=detail
0008-6223	CARBON	cas_tier	1	2	https://www.letpub.com.cn/index.php?journalid=1525&page=journalapp&view=detail
0341-8162	CATENA	cas_tier	2	1	https://www.letpub.com.cn/index.php?journalid=1556&page=journalapp&view=detail
0092-8674	CELL	cas_tier	3	1	https://www.letpub.com.cn/index.php?journalid=1562&page=journalapp&view=detail
0104-7760	Cerne	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=1618&page=journalapp&view=detail
1054-1500	CHAOS	cas_tier	1	3	https://www.letpub.com.cn/index.php?journalid=1623&page=journalapp&view=detail
1359-7345	CHEMICAL COMMUNICATIONS	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=1634&page=journalapp&view=detail
0379-864X	CHEMICAL SENSES	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=1654&page=journalapp&view=detail
0306-0012	CHEMICAL SOCIETY REVIEWS	cas_tier	4	1	https://www.letpub.com.cn/index.php?journalid=1655&page=journalapp&view=detail
0235-7216	Chemija	cas_tier	1	4	https://www.letpub.com.cn/index.php?journalid=1663&page=journalapp&view=detail
0252-9599	CHINESE ANNALS OF MATHEMATICS SERIES B	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=1700&page=journalapp&view=detail
1671-7694	Chinese Optics Letters	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=1722&page=journalapp&view=detail
1674-1056	Chinese Physics B	cas_tier	4	3	https://www.letpub.com.cn/index.php?journalid=1723&page=journalapp&view=detail
0256-307X	CHINESE PHYSICS LETTERS	cas_tier	3	1	https://www.letpub.com.cn/index.php?journalid=1725&page=journalapp&view=detail
1389-0417	Cognitive Systems Research	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=1884&page=journalapp&view=detail
1061-3773	COMPUTER APPLICATIONS IN ENGINEERING EDUCATION	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=1980&page=journalapp&view=detail
0148-9267	COMPUTER MUSIC JOURNAL	cas_tier	2	4	https://www.letpub.com.cn/index.php?journalid=1990&page=journalapp&view=detail
0360-1315	COMPUTERS & EDUCATION	cas_tier	2	1	https://www.letpub.com.cn/index.php?journalid=2003&page=journalapp&view=detail
1063-1801	Configurations	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=2027&page=journalapp&view=detail
0011-3891	CURRENT SCIENCE	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=2190&page=journalapp&view=detail
0167-9236	DECISION SUPPORT SYSTEMS	cas_tier	4	2	https://www.letpub.com.cn/index.php?journalid=2230&page=journalapp&view=detail
8756-5641	DEVELOPMENTAL NEUROPSYCHOLOGY	cas_tier	1	4	https://www.letpub.com.cn/index.php?journalid=2271&page=journalapp&view=detail
1028-3358	DOKLADY PHYSICS	cas_tier	3	4	https://www.letpub.com.cn/index.php?journalid=2344&page=journalapp&view=detail
